ID,scientific_name,common_name_english,critical_habitat_status,critical_habitat_detail,critical_habitat_method,cosewic_status,schedule_status,sara_schedule,g_rank
1,Abronia umbellata,Pink Sand-verbena,Final,NA,Element Occurrences,Endangered,Endangered,Schedule 1,
2,Accipiter gentilis laingi,Northern Goshawk laingi subspecies,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
3,Accipiter gentilis laingi,Northern Goshawk laingi subspecies,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
4,Acipenser transmontanus,White Sturgeon,Proposed/Final,NA,NA,Non-active,Special Concern,NA,
5,Actaea elata,Tall Bugbane,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
6,Actaea elata,Tall Bugbane,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
7,Adiantum capillus-veneris,Southern Maidenhair Fern,Final,Detailed Polygon,"Critical Function Zone, Connective Habitat",Endangered,Endangered,Schedule 1,
8,Aegolius acadicus brooksi,Northern Saw-whet Owl brooksi subspecies,Final/Final,NA,"Element Occurrences, Habitat Features",Threatened,Threatened,Schedule 1,
9,Allogona townsendiana,Oregon Forestsnail,Final,Detailed Polygon,Critical Function Zone,Endangered,Endangered,Schedule 1,
10,Allogona townsendiana,Oregon Forestsnail,Final,Detailed Polygon,Critical Function Zone,Endangered,Endangered,Schedule 1,
11,Ambystoma mavortium,Western Tiger Salamander - Southern Mountain population,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
12,Ambystoma mavortium,Western Tiger Salamander - Southern Mountain population,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
13,Ammannia robusta,Scarlet Ammannia,Final,Detailed Polygon,"Critical Function Zone, Distinct Ecological Features, Connective Habitat",Endangered,Endangered,Schedule 1,
14,Anarta edwardsii,Edwards' Beach Moth,Final,Detailed Polygon,"Element Occurrences, Habitat Features",Endangered,Endangered,Schedule 1,
15,Antennaria flagellaris,Stoloniferous Pussytoes,Final,Detailed Polygon,"Critical Function Zone, Distinct Ecological Features, Connective Habitat",Endangered,Endangered,Schedule 1,
16,Antrozous pallidus,Pallid Bat,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
17,Antrozous pallidus,Pallid Bat,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
18,Apodemia mormo,Mormon Metalmark - Southern Mountain popluation,Final,Detailed Polygon,NA,Special Concern,Special Concern,Schedule 1,
19,Apodemia mormo,Mormon Metalmark - Southern Mountain popluation,Final,Detailed Polygon,NA,Special Concern,Special Concern,Schedule 1,
20,Ascaphus montanus,Rocky Mountain Tailed Frog,Final,Detailed Polygon,"Distinct Ecological Features, Critical Function Zone",Threatened,Threatened,Schedule 1,
21,Ascaphus montanus,Rocky Mountain Tailed Frog,Final,Detailed Polygon,"Distinct Ecological Features, Critical Function Zone",Threatened,Threatened,Schedule 1,
22,Azolla mexicana,Mexican Mosquito-fern,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
23,Balsamorhiza deltoidea,Deltoid Balsamroot,NA,NA,NA,Endangered,Endangered,Schedule 1,
24,Bartramia aprica,Rigid Apple Moss,NA,NA,NA,Endangered,Endangered,Schedule 1,
25,Bartramia halleriana,Haller's Apple Moss,Final/Final,NA,NA,Threatened,Threatened,Schedule 1,
26,Bartramia halleriana,Haller's Apple Moss,Final/Final,NA,NA,Threatened,Threatened,Schedule 1,
27,Brachyramphus marmoratus,Marbled Murrelet,Candidate,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
28,Brachyramphus marmoratus,Marbled Murrelet,Candidate,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
29,Brachyramphus marmoratus,Marbled Murrelet,Final,Detailed Polygon,"Modelling, Land Classification",Threatened,Threatened,Schedule 1,
30,Brachyramphus marmoratus,Marbled Murrelet,Final,Detailed Polygon,"Modelling, Land Classification",Threatened,Threatened,Schedule 1,
31,Brotherella roellii,Roell's Brotherella Moss,Candidate,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
32,Brotherella roellii,Roell's Brotherella Moss,Candidate,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
33,Camissonia contorta,Contorted-pod Evening-primrose,Final/Final,NA, ,Endangered,Endangered,Schedule 1,
34,Camissonia contorta,Contorted-pod Evening-primrose,Proposed/Proposition,NA,"Element Occurrences, Habitat Features",Endangered,Endangered,Schedule 1,
35,Carex tumulicola,Foothill Sedge,NA,NA,NA,Endangered,Endangered,Schedule 1,
36,Castilleja levisecta,Golden Paintbrush,NA,NA,NA,Endangered,Endangered,Schedule 1,
37,Castilleja rupicola,Cliff Paintbrush,Final,Detailed Polygon,"Element Occurrences, Habitat Features",Threatened,Threatened,Schedule 1,
38,Castilleja rupicola,Cliff Paintbrush,Final,Detailed Polygon,"Element Occurrences, Habitat Features",Threatened,Threatened,Schedule 1,
39,Castilleja victoriae,Victoria's Owl-clover,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,G1
40,Catostomus sp. cf. catostomus,Salish Sucker,Proposed/Final,NA,NA,Threatened,Threatened,Schedule 1,G1
41,Catostomus sp. cf. catostomus,Salish Sucker,Proposed/Final,NA,NA,Threatened,Threatened,Schedule 1,G1
42,Centaurium muehlenbergii,Muhlenberg's Centaury,NA,NA,NA,Endangered,Endangered,Schedule 1,
43,Cephalanthera austiniae,Phantom Orchid,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
44,Cephalanthera austiniae,Phantom Orchid,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
45,Chenopodium subglabrum,Smooth Goosefoot,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
46,Chrysemys picta bellii,Western Painted Turtle Pacific Coast population,Proposed,Detailed Polygons,NA,Threatened,Endangered,Schedule 1,
47,Chrysemys picta bellii,Western Painted Turtle Pacific Coast population,Proposed,Detailed Polygons,NA,Threatened,Endangered,Schedule 1,
48,Collema coniophilum,Crumpled Tarpaper Lichen,Candidate,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,G2
49,Collomia tenella,Slender Collomia,Final,Detailed Polygon,"Critical Function Zone, Distinct Ecological Features, Connective Habitat",Endangered,Endangered,Schedule 1,
50,Contia tenuis,Sharp-tailed Snake,Final,Detailed Polygon,Element Occurences,Endangered,Endangered,Schedule 1,
51,Copablepharon fuscum,Sand–verbena Moth,Final,Detailed Polygon,Adjacent Areas,Endangered,Endangered,Schedule 1,G1G2
52,Copablepharon fuscum,Sand–verbena Moth,Final/Final,NA, ,Endangered,Endangered,Schedule 1,G1G2
53,Cottus aleuticus,Cultus Pygmy Sculpin,Proposed/Final,NA,NA,Endangered,Threatened,Schedule 1,
54,Crotalus oreganus,Western Rattlesnake,Final,10 km Grid Square,NA,Threatened,Threatened,Schedule 1,
55,Crotalus oreganus,Western Rattlesnake,Final,10 km Grid Square,NA,Threatened,Threatened,Schedule 1,
56,Crotalus oreganus,Western Rattlesnake,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
57,Crotalus oreganus,Western Rattlesnake,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
58,Dicamptodon tenebrosus,Coastal Giant Salamander,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
59,Dicamptodon tenebrosus,Coastal Giant Salamander,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
60,Efferia okanagana,Okanagan Efferia,Candidate,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,G1G2
61,Efferia okanagana,Okanagan Efferia,Candidate,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,G1G2
62,Entosphenus macrostomus,Vancouver Lamprey,Proposed/Final,NA,NA,Threatened,Threatened,Schedule 1,G2
63,Entosthodon rubiginosus,Rusty Cord-moss,Final,Detailed Polygon,"Critical Function Zone, Distinct Ecological Features, Connective Habitat",Special Concern,Endangered,Schedule 1,
64,Epilobium densiflorum,Dense Spike-primrose,NA,NA,NA,Endangered,Endangered,Schedule 1,
65,Epilobium torreyi,Brook Spike-primrose,NA,NA,NA,Endangered,Endangered,Schedule 1,
66,Euphydryas editha taylori,Taylor's Checkerspot,NA,NA,NA,Endangered,Endangered,Schedule 1,
67,Euphyes vestris vestris,Dun Skipper vestris subspecies,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
68,Euphyes vestris vestris,Dun Skipper vestris subspecies,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
69,Fissidens pauperculus,Poor Pocket Moss,Final,Detailed Polygon,"Element Occurrences, Adjacent Areas",Endangered,Endangered,Schedule 1,
70,Gasterosteus aculeatus,Misty Lake Lentic Threespine Stickleback,Proposed/Final,NA,NA,Endangered,Endangered,Schedule 1,G1
71,Gasterosteus aculeatus,Misty Lake Lotic Threespine Stickleback,Proposed/Final,NA,NA,Endangered,Endangered,Schedule 1,G1
72,Gasterosteus aculeatus,Paxton Lake Benthic Threespine Stickleback,Proposed/Final,NA,NA,Endangered,Endangered,Schedule 1,G1
73,Gasterosteus aculeatus,Paxton Lake Limnetic Threespine Stickleback,Proposed/Final,NA,NA,Endangered,Endangered,Schedule 1,G1
74,Gasterosteus aculeatus,Vananda Creek Benthic Threespine Stickleback,Proposed/Final,NA,NA,Endangered,Endangered,Schedule 1,G1
75,Gasterosteus aculeatus,Vananda Creek Limnetic Threespine Stickleback,Proposed/Final,NA,NA,Endangered,Endangered,Schedule 1,G1
76,Haplodontium macrocarpum,Porsild's Bryum,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
77,Hemileuca nuttalli,Nuttall's Sheep Moth,Candidate,Detailed Polygon,NA,Endangered,No Status,No schedule,
78,Hemphillia dromedarius,Dromedary Jumping-slug,Final/Final,NA, ,Threatened,Threatened,Schedule 1,
79,Heterodermia sitchensis,Seaside Centipede Lichen,Final/Final,NA, ,Threatened,Endangered,Schedule 1,G1
80,Hypogymnia heterophylla,Seaside Bone Lichen,Final,Detailed Polygon,Element Occurrences,Threatened,Threatened,Schedule 1,
81,Hypsiglena chlorophaea,Desert Nightsnake,Final,10 km Grid Square,NA,Endangered,Endangered,Schedule 1,
82,Hypsiglena chlorophaea,Desert Nightsnake,Final,10 km Grid Square,NA,Endangered,Endangered,Schedule 1,
83,Hypsiglena chlorophaea,Desert Nightsnake,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
84,Hypsiglena chlorophaea,Desert Nightsnake,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
85,Icteria virens auricollis,Yellow-breasted Chat auricollis subspecies,Final,Detailed Polygon,Critical Function Zone,Endangered,Endangered,Schedule 1,
86,Icteria virens auricollis,Yellow-breasted Chat auricollis subspecies,Final,Detailed Polygon,"Modelling, Critical Function Zone",Endangered,Endangered,Schedule 1,
87,Icteria virens auricollis,Yellow-breasted Chat auricollis subspecies,Final,Detailed Polygon,"Modelling, Critical Function Zone",Endangered,Endangered,Schedule 1,
88,Juncus kelloggii,Kellogg's Rush,NA,NA,NA,Endangered,Endangered,Schedule 1,
89,Lampetra richardsoni,Western Brook Lamprey,Proposed/Final,NA,NA,Endangered,Endangered,Schedule 1,
90,Lasthenia glaberrima,Rayless Goldfields,NA,NA,NA,Endangered,Endangered,Schedule 1,
91,Leptogium platynum,Batwing Vinyl Lichen,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
92,Lewisiopsis tweedyi,Tweedy's Lewisia,Proposed,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
93,Limnanthes macounii,Macoun's Meadowfoam,NA,NA,NA,Threatened,Threatened,Schedule 1,G2?
94,Lipocarpha micrantha,Small-flowered Lipocarpha,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
95,Lithobates pipiens,Northern Leopard Frog - Rocky Mountain population,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
96,Lithobates pipiens,Northern Leopard Frog - Rocky Mountain population,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
97,Lomatium grayi,Gray's Desert-parsley,NA,NA,NA,Threatened,Threatened,Schedule 1,
98,Lotus formosissimus,Seaside Bird's-foot lotus,NA,NA,NA,Endangered,Endangered,Schedule 1,
99,Lotus formosissimus,Seaside Bird's-foot Lotus,NA,NA,NA,Endangered,Endangered,Schedule 1,
100,Lotus formosissimus,Seaside Birds-foot lotus,NA,NA,NA,Endangered,Endangered,Schedule 1,
101,Lotus pinnatus,Bog Birds-foot Trefoil,NA,NA,NA,Endangered,Endangered,Schedule 1,
102,Lupinus densiflorus,Dense-flowered Lupine,NA,NA,NA,Endangered,Endangered,Schedule 1,
103,Lupinus lepidus,Prairie Lupine,NA,NA,NA,Endangered,Endangered,Schedule 1,
104,Lupinus rivularis,Streambank Lupine,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
105,Marmota vancouverensis,Vancouver Island Marmot,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,G1
106,Marmota vancouverensis,Vancouver Island Marmot,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,G1
107,Meconella oregana,White Meconella,NA,NA,NA,Endangered,Endangered,Schedule 1,G2
108,Melanerpes lewis,Lewis's Woodpecker,Final,Detailed Polygon,"Observations, Habitat Features, Modelling, Critical Function Zone",Threatened,Threatened,Schedule 1,
109,Melanerpes lewis,Lewis's Woodpecker,Final,Detailed Polygon,"Observations, Habitat Features, Modelling, Critical Function Zone",Threatened,Threatened,Schedule 1,
110,Microbryum vlassovii,Nugget Moss,Final,Detailed Polygon,"Critical Function Zone, Distinct Ecological Features",Endangered,Endangered,Schedule 1,G2?
111,Microbryum vlassovii,Nugget Moss,Final,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,G2?
112,Microseris bigelovii,Coast Microseris,NA,NA,NA,Endangered,Endangered,Schedule 1,
113,Minuartia pusilla,Dwarf Sandwort,NA,NA,NA,Endangered,Endangered,Schedule 1,
114,Myotis lucifugus,Little Brown Myotis,Final,50 km Grid Square,NA,Endangered,Endangered,Schedule 1,
115,Myotis lucifugus,Little Brown Myotis,Final,50 km Grid Square,NA,Endangered,Endangered,Schedule 1,
116,Myotis septentrionalis,Northern Myotis,Final,50 km Grid Square,NA,Endangered,Endangered,Schedule 1,G1G2
117,Myotis septentrionalis,Northern Myotis,Final,50 km Grid Square,NA,Endangered,Endangered,Schedule 1,G1G2
118,Orcinus orca,Killer Whale,Proposed/Final,NA,NA,Non-active,No Status,No schedule,
119,Orcinus orca,Killer Whale,Proposed/Final,NA,NA,Non-active,No Status,No schedule,
120,Oreoscoptes montanus,Sage Thrasher,Final,Detailed Polygon,"Observations, Habitat Features, Critical Function Zone",Endangered,Endangered,Schedule 1,
121,Oreoscoptes montanus,Sage Thrasher,Final,Detailed Polygon,"Observations, Habitat Features, Critical Function Zone",Endangered,Endangered,Schedule 1,
122,Orthocarpus barbatus,Grand Coulee Owl-clover,Final,Detailed Polygon,"Critical Function Zone, Distinct Ecological Features, Connective Habitat",Endangered,Endangered,Schedule 1,
123,Orthocarpus barbatus,Grand Coulee Owl-clover,Final,Detailed Polygon,"Critical Function Zone, Distinct Ecological Features, Connective Habitat",Endangered,Endangered,Schedule 1,
124,Orthocarpus bracteosus,Rosy Owl-clover,NA,NA,NA,Endangered,Endangered,Schedule 1,
125,Phacelia ramosissima,Branched phacelia,Final,Detailed Polygon,"Critical Function Zone, Distinct Ecological Features, Connective Habitat",Endangered,Endangered,Schedule 1,
126,Phlox speciosa ssp. Occidentalis,Showy Phlox,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
127,Physella johnsoni,Banff Springs Snail,Final/Final,NA,NA,Endangered,Endangered,Schedule 1,
128,Physella wrighti,Hotwater Physa,Proposed/Final,NA,NA,Endangered,Endangered,Schedule 1,G1Q
129,Pinus albicaulis,Whitebark Pine,Proposed,Detailed Polygon,Land Classification,Endangered,Endangered,Schedule 1,
130,Pinus albicaulis,Whitebark Pine,Proposed,Detailed Polygon,Land Classification,Endangered,Endangered,Schedule 1,
131,Pituophis catenifer deserticola,Great Basin Gophersnake,Final,10 km Grid Square,NA,Threatened,Threatened,Schedule 1,
132,Pituophis catenifer deserticola,Great Basin Gophersnake,Final,10 km Grid Square,NA,Threatened,Threatened,Schedule 1,
133,Pituophis catenifer deserticola,Great Basin Gophersnake,Final,Detailed Polygons,NA,Threatened,Threatened,Schedule 1,
134,Pituophis catenifer deserticola,Great Basin Gophersnake,Final,Detailed Polygons,NA,Threatened,Threatened,Schedule 1,
135,Plagiobothrys figuratus,Fragrant Popcornflower,NA,NA,NA,Endangered,Endangered,Schedule 1,
136,Plagiobothrys tenellus,Slender Popcornflower,NA,NA,NA,Threatened,Threatened,Schedule 1,
137,Polystichum lemmonii,Lemmon's Holly Fern,Final,Detailed Polygon,"Critical Function Zone, Distinct Ecological Features, Connective Habitat",Threatened,Threatened,Schedule 1,
138,Polystichum scopulinum,Mountain Holly Fern,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
139,Pooecetes gramineus affinis,Coastal Vesper Sparrow,Final,Detailed Polygon,"Observations, Habitat Features, Critical Function Zone",Endangered,Endangered,Schedule 1,
140,Prophysaon coeruleum,Blue-grey Taildropper,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
141,Psilocarphus brevissimus,Dwarf Woolly-heads Southern Mountain Population,Final,Detailed Polygon,Critical Function Zone,Special Concern,Special Concern,Schedule 1,
142,Psilocarphus elatior,Tall Wooly-heads,NA,NA,NA,Endangered,Endangered,Schedule 1,
143,Rana pretiosa,Oregon Spotted Frog,Final,Detailed Polygon,Critical Function Zone,Endangered,Endangered,Schedule 1,G2
144,Rana pretiosa,Oregon Spotted Frog,Final,Detailed Polygon,Critical Function Zone,Endangered,Endangered,Schedule 1,G2
145,Rangifer tarandus,Caribou - Boreal population,Final,Detailed Polygon,"Observations, Habitat Features, Land Classification, Connectivity",Endangered,Special Concern,Schedule 1,
146,Rangifer tarandus,Caribou - Boreal population,Final,Detailed Polygon,"Observations, Habitat Features, Land Classification, Connectivity",Endangered,Special Concern,Schedule 1,
147,Rangifer tarandus,Caribou - Southern Mountain population,Final,Detailed Polygon,"Observations, Habitat Features, Land Classification, Connectivity",Endangered,Special Concern,Schedule 1,
148,Rangifer tarandus,Caribou - Southern Mountain population,Final,Detailed Polygon,"Observations, Habitat Features, Land Classification, Connectivity",Endangered,Special Concern,Schedule 1,
149,Ranunculus alismifolius,Water Plantain Buttercup,NA,NA,NA,Endangered,Endangered,Schedule 1,
150,Ranunculus californicus,California Buttercup,NA,NA,NA,Endangered,Endangered,Schedule 1,
151,Rhinichthys cataractae,Nooksack Dace,Proposed/Final,NA,NA,Endangered,Endangered,Schedule 1,
152,Rhinichthys osculus,Speckled Dace,Proposed/Final,NA,NA,Endangered,Endangered,Schedule 1,
153,Rotala ramosior,Toothcup,Final,Detailed Polygon,"Critical Function Zone, Distinct Ecological Features, Connective Habitat",Non-active,No Status,No schedule,
154,Sanicula arctopoides,Bears-foot Sanicle,NA,NA,NA,Threatened,Threatened,Schedule 1,
155,Sanicula bipinnatifida,Purple Sanicle,NA,NA,NA,Threatened,Threatened,Schedule 1,
156,Satyrium behrii,Behr's Hairstreak,Final,Detailed Polygon,"Dispersal Area, Land Classification, Habitat Features",Endangered,Endangered,Schedule 1,
157,Satyrium behrii,Behr's Hairstreak,Final,Detailed Polygon,"Dispersal Area, Land Classification, Habitat Features",Endangered,Endangered,Schedule 1,
158,Satyrium semiluna,Half-moon Hairstreak,Final,Detailed Polygon,"Dispersal Area, Land Classification, Habitat Features",Endangered,Endangered,Schedule 1,
159,Satyrium semiluna,Half-moon Hairstreak,Final,Detailed Polygon,"Dispersal Area, Land Classification, Habitat Features",Endangered,Endangered,Schedule 1,
160,Scapanus townsendii,Townsend's Mole,Final,Detailed Polygon,Critical Function Zone,Endangered,Endangered,Schedule 1,
161,Silene scouleri ssp. grandis,Coastal Scouler's Catchfly,NA,NA,NA,Endangered,Endangered,Schedule 1,
162,Silene spaldingii,Spalding's Campion,Final,Detailed Polygon,Critical Function Zone,Endangered,Endangered,Schedule 1,G2
163,Sorex bendirii,Pacific Water Shrew,Final,Detailed Polygon,"Element Occurrences, Habitat Features, Connectivity, Adjacent Areas",Endangered,Endangered,Schedule 1,
164,Sorex bendirii,Pacific Water Shrew,Final,Detailed Polygon,"Element Occurrences, Habitat Features, Connectivity, Adjacent Areas",Endangered,Endangered,Schedule 1,
165,Spea intermontana,Great Basin Spadefoot,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
166,Spea intermontana,Great Basin Spadefoot,Final,Detailed Polygon,NA,Threatened,Threatened,Schedule 1,
167,Sphyrapicus thyroideus,Williamson's Sapsucker,Final,Detailed Polygon,"Observations, Habitat Features, Modelling, Critical Function Zone",Endangered,Endangered,Schedule 1,
168,Sphyrapicus thyroideus,Williamson's Sapsucker,Final,Detailed Polygon,"Observations, Habitat Features, Modelling, Critical Function Zone",Endangered,Endangered,Schedule 1,
169,Stylurus olivaceus,Olive Clubtail,Candidate,Detailed Polygon,NA,Endangered,Endangered,Schedule 1,
170,Symphyotrichum frondosum,Short-rayed Alkali Aster,Final,Detailed Polygon,"Critical Function Zone, Distinct Ecological Features, Connective Habitat",Endangered,Endangered,Schedule 1,
171,Taxidea taxus jeffersonii,American Badger jeffersonii subspecies (Western population),Candidate,Detailed Polygon,NA,Non-active,No Status,No schedule,
172,Taxidea taxus jeffersonii,American Badger jeffersonii subspecies (Western population),Candidate,Detailed Polygon,NA,Non-active,No Status,No schedule,
173,Tonella tenella,Small-flowered Tonella,NA,NA,NA,Endangered,Endangered,Schedule 1,
174,Triphysaria versicolor,Bearded Owl-clover,NA,NA,NA,Endangered,Endangered,Schedule 1,
175,Triteleia howellii,Howell's Triteleia,NA,NA,NA,Endangered,Endangered,Schedule 1,
176,Tyto alba,Barn Owl,Candidate,Detailed Polygon,NA,Non-active,No Status,No schedule,
177,Tyto alba,Barn Owl,Candidate,Detailed Polygon,NA,Non-active,No Status,No schedule,
178,Uropappus lindleyi,Lindley's False Silverpuffs,NA,NA,NA,Endangered,Endangered,Schedule 1,
179,Viola praemorsa ssp. Praemorsa,Yellow Montane Violet,NA,NA,NA,Endangered,Endangered,Schedule 1,
